x,y,X,Y,Z
8.449481782743805525e+02,1.490407473516150731e+03,0.000000000000000000e+00,8.000000000000000000e+01,1.050000000000000000e+03
9.001312601898823686e+02,1.479156485985804466e+03,4.000000000000000000e+01,8.000000000000000000e+01,1.050000000000000000e+03
9.549017863839691245e+02,1.467989612265635060e+03,8.000000000000000000e+01,8.000000000000000000e+01,1.050000000000000000e+03
1.009264366105347108e+03,1.456905912600233478e+03,1.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.063223540195487885e+03,1.445904461181380839e+03,1.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.116783782353002152e+03,1.434984345890262148e+03,2.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.169949500370072883e+03,1.424144668045376648e+03,2.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.222725037341668440e+03,1.413384542155996996e+03,2.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.275114672848226519e+03,1.402703095681038576e+03,3.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.327122624112491167e+03,1.392099468793198639e+03,3.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.378753047131156791e+03,1.381572814148229781e+03,4.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.430010037781957863e+03,1.371122296659223139e+03,4.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.480897632906820718e+03,1.360747093275768975e+03,4.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.531419811371684318e+03,1.350446392767875977e+03,5.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.581580495103570229e+03,1.340219395514528514e+03,5.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.631383550105470022e+03,1.330065313296765908e+03,6.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.680832787449603984e+03,1.319983369095173657e+03,6.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.729931964249583416e+03,1.309972796891672715e+03,6.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.778684784612001977e+03,1.300032841475505393e+03,7.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.827094900567956302e+03,1.290162758253313314e+03,7.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.875165912984995430e+03,1.280361813063202362e+03,8.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.922901372459967661e+03,1.270629281992708229e+03,8.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.970304780193241186e+03,1.260964451200552503e+03,8.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
2.017379588844739601e+03,1.251366616742114047e+03,9.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
2.064129203372240227e+03,1.241835084398508798e+03,9.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
8.429656904474014709e+02,1.441568726370744344e+03,0.000000000000000000e+00,1.200000000000000000e+02,1.050000000000000000e+03
8.984538341717844787e+02,1.430441301680418974e+03,4.000000000000000000e+01,1.200000000000000000e+02,1.050000000000000000e+03
9.535249128323317791e+02,1.419397513957872434e+03,8.000000000000000000e+01,1.200000000000000000e+02,1.050000000000000000e+03
1.008183610997652295e+03,1.408436423773870501e+03,1.200000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.062434543340545588e+03,1.397557105715872240e+03,1.600000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.116282255936752335e+03,1.386758648127584138e+03,2.000000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.169731227534853360e+03,1.376040152854297958e+03,2.400000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.222785870798062206e+03,1.365400734993865626e+03,2.800000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.275450533518633165e+03,1.354839522653164749e+03,3.200000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.327729499805587920e+03,1.344355656709916047e+03,3.600000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.379626991246443822e+03,1.333948290579713785e+03,4.000000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.431147168043600914e+03,1.323616589988138685e+03,4.400000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.482294130126034588e+03,1.313359732747821226e+03,4.800000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.533071918236915053e+03,1.303176908540334807e+03,5.200000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.583484514997761153e+03,1.293067318702793500e+03,5.600000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.633535845949715622e+03,1.283030176019036844e+03,6.000000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.683229780572515438e+03,1.273064704515289804e+03,6.400000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.732570133281710469e+03,1.263170139260182623e+03,6.800000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.781560664404672480e+03,1.253345726169026193e+03,7.200000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.830205081135917226e+03,1.243590721812232459e+03,7.600000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.878507038472249405e+03,1.233904393227786613e+03,8.000000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.926470140128228650e+03,1.224286017737657858e+03,8.400000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
1.974097939432431986e+03,1.214734882768070520e+03,8.800000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
2.021393940204990486e+03,1.205250285673520921e+03,9.200000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
2.068361597616843937e+03,1.195831533564469282e+03,9.600000000000000000e+02,1.200000000000000000e+02,1.050000000000000000e+03
8.409616231059153506e+02,1.392198366148985087e+03,0.000000000000000000e+00,1.600000000000000000e+02,1.050000000000000000e+03
8.967582185095666318e+02,1.381197860476554524e+03,4.000000000000000000e+01,1.600000000000000000e+02,1.050000000000000000e+03
9.521331651765119659e+02,1.370280484415999808e+03,8.000000000000000000e+01,1.600000000000000000e+02,1.050000000000000000e+03
1.007091224645255352e+03,1.359445299212349937e+03,1.200000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
1.061637087029206214e+03,1.348691380192355382e+03,1.600000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
1.115775372350934958e+03,1.338017816501435846e+03,2.000000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
1.169510631846628030e+03,1.327423710846501763e+03,2.400000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
1.222847349241522124e+03,1.316908179244496978e+03,2.800000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
1.275789941997060851e+03,1.306470350776518899e+03,3.200000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
1.328342762530507798e+03,1.296109367347365605e+03,3.600000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
1.380510099407721100e+03,1.285824383450376217e+03,4.000000000000000000e+02,1.600000000000000000e+02,1.050000000000000000e+03
