x,y,X,Y,Z
7.078131556447463026e+02,1.251176360557954922e+03,0.000000000000000000e+00,8.000000000000000000e+01,7.000000000000000000e+02
7.592515136595111471e+02,1.241614724629366719e+03,4.000000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+02
8.103346181913915416e+02,1.232119125110119967e+03,8.000000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+02
8.610661368553044213e+02,1.222688880244421398e+03,1.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
9.114496869536694703e+02,1.213323317628832910e+03,1.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
9.614888363361965276e+02,1.204021774052449246e+03,2.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.011187104242101327e+03,1.194783595340343254e+03,2.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.060547962125169079e+03,1.185608136200197350e+03,2.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.109574834462068111e+03,1.176494760072051122e+03,3.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.158271099544311710e+03,1.167442838981086879e+03,3.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.206640090254254574e+03,1.158451753393382432e+03,4.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.254685094825493024e+03,1.149520892074565381e+03,4.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.302409357588037210e+03,1.140649651951295255e+03,4.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.349816079698609883e+03,1.131837437975512103e+03,5.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.396908419856414639e+03,1.123083662991386518e+03,5.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.443689495004711716e+03,1.114387747604904916e+03,6.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.490162381018529004e+03,1.105749120056036872e+03,6.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.536330113378824080e+03,1.097167216093415846e+03,6.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.582195687833410830e+03,1.088641478851483498e+03,7.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.627762061044952134e+03,1.080171358730039401e+03,7.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.673032151226309452e+03,1.071756313276134051e+03,8.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.718008838763543281e+03,1.063395807068267914e+03,8.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.762694966826835525e+03,1.055089311602825092e+03,8.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.807093341969612538e+03,1.046836305182708884e+03,9.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.851206734716129404e+03,1.038636272808114882e+03,9.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
7.052984846080535135e+02,1.204908975715214410e+03,0.000000000000000000e+00,1.200000000000000000e+02,7.000000000000000000e+02
7.570016710729830720e+02,1.195460861998805967e+03,4.000000000000000000e+01,1.200000000000000000e+02,7.000000000000000000e+02
8.083460035805424013e+02,1.186078324376032242e+03,8.000000000000000000e+01,1.200000000000000000e+02,7.000000000000000000e+02
8.593352052323883754e+02,1.176760682496410482e+03,1.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
9.099729478048841429e+02,1.167507265388517908e+03,1.600000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
9.602628526305005607e+02,1.158317411298923844e+03,2.000000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.010208491461116068e+03,1.149190467534434674e+03,2.400000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.059813387313649173e+03,1.140125790307563420e+03,2.800000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.109081015298439752e+03,1.131122744585154578e+03,3.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.158014803430793336e+03,1.122180703940083276e+03,3.600000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.206618133426082522e+03,1.113299050405961225e+03,4.000000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.254894341478795013e+03,1.104477174334775555e+03,4.400000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.302846719025903440e+03,1.095714474257391885e+03,4.800000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.350478513494925664e+03,1.087010356746855905e+03,5.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.397792929037031627e+03,1.078364236284426852e+03,5.600000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.444793127245543701e+03,1.069775535128281263e+03,6.000000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.491482227860170269e+03,1.061243683184822430e+03,6.400000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.537863309457301284e+03,1.052768117882537808e+03,6.800000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.583939410126686425e+03,1.044348284048344567e+03,7.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.629713528134808712e+03,1.035983633786365090e+03,7.600000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.675188622575256431e+03,1.027673626359082618e+03,8.000000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.720367614006392159e+03,1.019417728070810654e+03,8.400000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.765253385076605809e+03,1.011215412153440866e+03,8.800000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.809848781137431615e+03,1.003066158654398578e+03,9.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.854156610844805982e+03,9.949694543267753488e+02,9.600000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
7.027585627755365749e+02,1.158177001957684524e+03,0.000000000000000000e+00,1.600000000000000000e+02,7.000000000000000000e+02
7.547293160034253106e+02,1.148845172369572992e+03,4.000000000000000000e+01,1.600000000000000000e+02,7.000000000000000000e+02
8.063375597974276161e+02,1.139578434704341362e+03,8.000000000000000000e+01,1.600000000000000000e+02,7.000000000000000000e+02
8.575870738707751570e+02,1.130376110279507657e+03,1.200000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
9.084815855729966643e+02,1.121237529814977961e+03,1.600000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
9.590247707935895960e+02,1.112162033270782786e+03,2.000000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.009220254847039655e+03,1.103148969688163788e+03,2.400000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.059071613339641772e+03,1.094197697033928307e+03,2.800000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.108582373018549788e+03,1.085307582047994629e+03,3.200000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.157756012603484578e+03,1.076478000094051140e+03,3.600000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.206595963601512040e+03,1.067708335013254555e+03,4.000000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.255105611105286471e+03,1.058997978980899461e+03,4.400000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.303288294575155987e+03,1.050346332365982562e+03,4.800000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.351147308605505259e+03,1.041752803593599992e+03,5.200000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.398685903675706186e+03,1.033216809010106317e+03,5.600000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.445907286886035990e+03,1.024737772750973591e+03,6.000000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.492814622678912656e+03,1.016315126611287610e+03,6.400000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.539411033545788314e+03,1.007948309918817813e+03,6.800000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.585699600720031640e+03,9.996367694096055629e+02,7.200000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.631683364856123262e+03,9.913799591060045486e+02,7.600000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.677365326695477961e+03,9.831773401971314570e+02,8.000000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.722748447719199703e+03,9.750283809216526834e+02,8.400000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.767835650788067824e+03,9.669325564528732002e+02,8.800000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.812629820770045171e+03,9.588893487860577807e+02,9.200000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
1.857133805155590380e+03,9.508982466279500159e+02,9.600000000000000000e+02,1.600000000000000000e+02,7.000000000000000000e+02
7.001930078983587009e+02,1.110973406296249323e+03,0.000000000000000000e+00,2.000000000000000000e+02,7.000000000000000000e+02
7.524341088535561539e+02,1.101760689153695239e+03,4.000000000000000000e+01,2.000000000000000000e+02,7.000000000000000000e+02
8.043089887705351657e+02,1.092612555084144333e+03,8.000000000000000000e+01,2.000000000000000000e+02,7.000000000000000000e+02
8.558214851275828323e+02,1.083528327348374887e+03,1.200000000000000000e+02,2.000000000000000000e+02,7.000000000000000000e+02
9.069753819744812517e+02,1.074507338629281321e+03,1.600000000000000000e+02,2.000000000000000000e+02,7.000000000000000000e+02
9.577744108591265331e+02,1.065548930868464140e+03,2.000000000000000000e+02,2.000000000000000000e+02,7.000000000000000000e+02
1.008222251734928932e+03,1.056652455106210709e+03,2.400000000000000000e+02,2.000000000000000000e+02,7.000000000000000000e+02
1.058322533849460342e+03,1.047817271324781814e+03,2.800000000000000000e+02,2.000000000000000000e+02,7.000000000000000000e+02
1.108078836614795819e+03,1.039042748294927605e+03,3.200000000000000000e+02,2.000000000000000000e+02,7.000000000000000000e+02
